sentiment_var,price_var,correlation,p_value,significant,n_samples
score_mean,BTC_daily_return,0.0884718063920855,0.37656408439873973,False,102
score_mean,BTC_price_change,0.09132828191481171,0.3612886319327569,False,102
score_mean,BTC_volatility,-0.10343624886270632,0.3008753476149827,False,102
score_mean,BTC_volume,0.1702345892716502,0.08715395586265537,False,102
score_mean,ETH_daily_return,0.18516772706566578,0.06243398112594395,False,102
score_mean,ETH_price_change,0.1916339268030612,0.05488855137694303,False,101
score_mean,ETH_volatility,0.15233613629118947,0.12639000702244785,False,102
score_mean,ETH_volume,0.07864558989840749,0.432037171540653,False,102
sentiment_mean,BTC_daily_return,0.06555530096455167,0.5127118112682687,False,102
sentiment_mean,BTC_price_change,0.06990928126689701,0.48505068241057664,False,102
sentiment_mean,BTC_volatility,-0.0886565123865118,0.37556463256661,False,102
sentiment_mean,BTC_volume,0.1575373830637615,0.113802143254679,False,102
sentiment_mean,ETH_daily_return,0.14574590583673833,0.14384066069862622,False,102
sentiment_mean,ETH_price_change,0.15298187374017677,0.1266821974017892,False,101
sentiment_mean,ETH_volatility,0.1711686979193155,0.08540833735361748,False,102
sentiment_mean,ETH_volume,0.08734282098647023,0.3827081339913869,False,102
positive_ratio,BTC_daily_return,0.06436796338795656,0.520393086766234,False,102
positive_ratio,BTC_price_change,0.0685521229160119,0.4935864608306362,False,102
positive_ratio,BTC_volatility,-0.08776170871113217,0.3804214797787428,False,102
positive_ratio,BTC_volume,0.15723858570341198,0.11449789703804493,False,102
positive_ratio,ETH_daily_return,0.10935886838136967,0.27389195031808533,False,102
positive_ratio,ETH_price_change,0.1195807114124843,0.23361752960085966,False,101
positive_ratio,ETH_volatility,0.14155374186867806,0.15585233719285535,False,102
positive_ratio,ETH_volume,0.14416323446065135,0.14829050390203802,False,102
negative_ratio,BTC_daily_return,-0.08880333487441573,0.37477132225729665,False,102
negative_ratio,BTC_price_change,-0.09287864376518114,0.35316044477110015,False,102
negative_ratio,BTC_volatility,0.11508467261912998,0.24940118881155288,False,102
negative_ratio,BTC_volume,-0.09542274097098744,0.34007139492012645,False,102
negative_ratio,ETH_daily_return,-0.15855793830293297,0.11145047118852025,False,102
negative_ratio,ETH_price_change,-0.16359039628779964,0.10212639706965555,False,101
negative_ratio,ETH_volatility,-0.15065735789050272,0.1306730187355761,False,102
negative_ratio,ETH_volume,-0.026470559048382,0.7917098189794943,False,102
sentiment_ratio,BTC_daily_return,0.11241658375398103,0.26061902656247155,False,102
sentiment_ratio,BTC_price_change,0.11825178826045443,0.23652235162256371,False,102
sentiment_ratio,BTC_volatility,-0.1141941693335496,0.2531076944074037,False,102
sentiment_ratio,BTC_volume,0.12763743500358893,0.20110011059126626,False,102
sentiment_ratio,ETH_daily_return,0.17933685641295757,0.07130301989572682,False,102
sentiment_ratio,ETH_price_change,0.1899388592017167,0.05711118559408537,False,101
sentiment_ratio,ETH_volatility,0.1721154773159108,0.08366756198306388,False,102
sentiment_ratio,ETH_volume,0.05951966220062523,0.5523530840370056,False,102
