sentiment_var,price_var,spearman_corr,p_value,significant
score_mean,BTC_daily_return,0.12530887583332861,0.20951028740321403,False
score_mean,BTC_volume,0.18798310442123595,0.058485353505033234,False
score_mean,ETH_daily_return,0.19531130725865276,0.04915714539013035,True
score_mean,ETH_volume,0.08211997670355273,0.41191026295852917,False
sentiment_mean,BTC_daily_return,0.10482388931339992,0.29440204143116366,False
sentiment_mean,BTC_volume,0.18341636086194588,0.06499803218287388,False
sentiment_mean,ETH_daily_return,0.16112615848448217,0.10569958741683022,False
sentiment_mean,ETH_volume,0.10087136484311907,0.3130845024613686,False
positive_ratio,BTC_daily_return,0.15522978840739216,0.11926132468513646,False
positive_ratio,BTC_volume,0.18595117265689534,0.06131397744922315,False
positive_ratio,ETH_daily_return,0.13640000568130242,0.1716275670976351,False
positive_ratio,ETH_volume,0.15775738987242585,0.11329195373402756,False
negative_ratio,BTC_daily_return,-0.09229960193131172,0.3561828034534118,False
negative_ratio,BTC_volume,-0.10728987606718794,0.28312679302406873,False
negative_ratio,ETH_daily_return,-0.1742965710917572,0.0797649657970759,False
negative_ratio,ETH_volume,-0.000361892698866872,0.9971197297693554,False
